entity,class,property,value,value_type,value_lang
fe:Zone_A,fe:Zone,fe:hasPopulation,fe:Population_A,uri,
fe:Zone_A,fe:Zone,fe:hasHazardExposure,fe:FireExposure_Zone_A,uri,
fe:Zone_A,fe:Zone,fe:containsBuilding,fe:Building_A,uri,
fe:Zone_A,fe:Zone,fe:containsArtefact,fe:Artefact_A,uri,
fe:Zone_A,fe:Zone,fe:hasMaximumOccupancy,350,xsd:integer,
fe:Axis_Corridor,fe:Axis,fe:isConnectedTo,fe:Axis_Exit,uri,
fe:Axis_Corridor,fe:Axis,fe:maxFlowCapacity,95.0,xsd:decimal,
fe:Axis_Corridor,fe:Axis,fe:hasWidth,1.80,xsd:decimal,
fe:Axis_Corridor,fe:Axis,fe:hasLength,22.0,xsd:decimal,
fe:Axis_Corridor,fe:Axis,fe:hasBlockingState,fe:AxisState_Open,uri,
fe:Axis_Corridor,fe:Axis,fe:hasAccessibilityLevel,fe:Accessibility_Partial,uri,
fe:Axis_Corridor,fe:Axis,fe:hasRescueAccessibilityLevel,fe:RescueAccess_Limited,uri,
fe:Axis_Entrance,fe:Axis,fe:isConnectedTo,fe:Axis_Corridor,uri,
fe:Axis_Entrance,fe:Axis,fe:maxFlowCapacity,120.0,xsd:decimal,
fe:Axis_Entrance,fe:Axis,fe:hasWidth,2.40,xsd:decimal,
fe:Axis_Entrance,fe:Axis,fe:hasLength,8.50,xsd:decimal,
fe:Axis_Entrance,fe:Axis,fe:hasBlockingState,fe:AxisState_Open,uri,
fe:Axis_Entrance,fe:Axis,fe:hasAccessibilityLevel,fe:Accessibility_PMR,uri,
fe:Axis_Entrance,fe:Axis,fe:hasRescueAccessibilityLevel,fe:RescueAccess_Good,uri,
fe:Axis_Exit,fe:Axis,fe:maxFlowCapacity,150.0,xsd:decimal,
fe:Axis_Exit,fe:Axis,fe:hasWidth,3.00,xsd:decimal,
fe:Axis_Exit,fe:Axis,fe:hasLength,5.0,xsd:decimal,
fe:Axis_Exit,fe:Axis,fe:hasBlockingState,fe:AxisState_Open,uri,
fe:Axis_Exit,fe:Axis,fe:hasAccessibilityLevel,fe:Accessibility_PMR,uri,
fe:Axis_Exit,fe:Axis,fe:hasRescueAccessibilityLevel,fe:RescueAccess_Good,uri,
fe:Population_A,fe:Population,fe:hasEstimatedCount,180,xsd:integer,
fe:HazardEvent_Fire_001,fe:HazardEvent,fe:hasHazardType,fe:FireHazard,uri,
fe:HazardEvent_Fire_001,fe:HazardEvent,fe:hasHazardIntensityLevel,fe:Intensity_High,uri,
fe:HazardEvent_Fire_001,fe:HazardEvent,fe:hasHazardSeverityLevel,fe:Severity_Major,uri,
